time,person,T_xacc,T_yacc,T_zacc,RA_xacc,RA_yacc,RA_zacc,LA_xacc,LA_yacc,LA_zacc,RL_xacc,RL_yacc,RL_zacc,LL_xacc,LL_yacc,LL_zacc
1491980048469,p1,7.3339,0.42634,2.4516,4.5853,5.8881,6.2375,6.9692,-4.4451,3.8109,-9.8963,0.080807,0.48017,-9.0618,5.197,-1.5253
1491980048509,p1,7.6745,0.17009,2.8702,3.9635,6.3742,6.5032,6.3099,-4.1306,4.8393,-10.073,0.28158,-1.0839,-6.866,5.2043,-0.15118
1491980048549,p1,8.2974,-0.60449,2.676,4.627,6.0603,5.738,6.8508,-4.36,5.311,-9.9729,-1.5933,-0.92235,-6.4932,4.931,-1.5349
1491980048589,p1,8.1515,-0.098301,2.3425,4.9225,5.3524,5.7268,6.6174,-4.8323,5.4724,-11.87,1.8889,0.16099,-4.8256,-1.7888,-0.20279
1491980048629,p1,9.4738,-0.33606,3.5818,4.0709,6.0362,6.2131,6.4722,-5.2754,5.2139,-9.3314,6.9297,-1.4664,-12.824,-7.8736,3.3355
1491980048669,p1,11.174,0.14563,3.8216,4.3498,6.2979,5.7373,6.6788,-6.6345,5.7125,-11.273,1.4603,-0.77925,-11.908,-3.4689,-1.5519
1491980048709,p1,12.444,0.79488,3.7758,3.4433,7.0403,6.6245,6.1694,-6.513,5.6977,-12.167,3.9909,-0.69494,-7.763,-3.1827,0.79698
1491980048749,p1,11.51,1.869,3.7906,3.1227,6.7619,7.0441,5.5227,-5.6078,5.105,-11.496,7.26,-0.009859,-8.6839,9.7906,-6.3166
1491980048789,p1,8.7211,2.1792,2.1751,3.2604,6.4373,6.99,6.3193,-5.8413,5.7592,-10.294,4.3906,9.5595,-13.333,-24.688,2.3105
1491980048829,p1,8.4473,2.1257,1.2775,3.0615,6.9655,6.5562,6.5221,-3.2634,5.4363,-11.803,-2.9796,-1.0851,-7.5765,11.121,-1.768
1491980048869,p1,9.5833,1.6835,2.1635,3.9072,7.0754,6.37,6.3395,-3.5547,5.9055,-15.844,-1.4967,-4.5137,-12.399,8.0038,-3.0231
1491980048909,p1,9.9456,1.2201,2.4616,3.8665,6.7754,5.7584,6.9038,-4.4487,5.9761,-14.987,-0.55469,-3.0196,-11.308,-6.4904,-3.3724
1491980048949,p1,10.255,0.45501,2.3844,4.1599,6.7878,5.6995,6.7586,-4.5799,5.1205,-12.611,-6.1202,-2.1632,-10.204,1.9167,0.35869
1491980048989,p1,8.228,0.53676,2.6829,3.6004,6.2617,6.204,6.5981,-5.0219,5.6489,-9.008,-7.2187,-3.2299,-7.2491,-3.189,-2.3837
1491980049029,p1,6.4843,0.47715,2.5648,4.3335,5.8524,5.6332,7.2174,-3.477,4.8687,-7.2354,-5.4205,-1.2158,-9.9527,1.094,-1.7904
1491980049069,p1,6.8659,0.90315,2.7048,4.3446,6.1147,5.5324,7.1012,-3.76,4.5932,-6.001,-4.0837,-0.51728,-9.4292,0.094558,-0.76844
1491980049109,p1,8.0689,1.6488,2.7709,4.2199,6.2402,5.6464,6.802,-4.2107,4.9241,-5.9304,-5.1059,1.9158,-9.6446,-2.7465,-1.8254
1491980049149,p1,9.515,1.5939,2.4906,3.9805,6.9434,5.6165,6.6504,-4.2843,5.7249,-5.806,-2.1234,4.3006,-10.333,-2.5951,-1.4931
1491980049189,p1,10.141,1.883,3.0343,3.5955,6.4902,5.114,6.3362,-4.3263,5.6573,-12.044,6.567,0.21993,-9.8928,-2.5912,-3.1886
1491980049229,p1,11.437,2.2326,3.7775,4.3712,8.7449,6.0354,6.2177,-5.5131,7.0158,-11.747,12.345,-0.45554,-11.573,-1.2334,-0.4796
1491980049269,p1,11.84,2.3107,3.796,2.8617,7.4501,7.1112,5.9709,-4.8554,6.546,-6.8108,2.0713,-0.99034,-10.647,-3.076,-0.25979
1491980049309,p1,12.101,0.68707,3.6382,2.9049,7.9633,7.2572,6.0922,-6.1484,6.9468,-17.491,-3.0045,6.6774,-12.882,-4.876,0.57898
1491980049349,p1,10.553,0.32752,2.1769,4.1882,6.5776,6.5444,5.6638,-5.1709,7.2508,-8.8899,5.8319,-0.30104,-10.013,-9.0102,-0.055933
1491980049389,p1,8.9718,-0.51559,1.3091,4.417,5.7087,6.2551,6.5874,-4.2101,5.1775,-10.999,-9.9772,-1.7515,-9.5189,-0.46937,0.42359
1491980049429,p1,8.273,-1.2693,2.2686,4.7302,5.571,6.1446,5.7713,-5.6576,5.095,-7.9828,1.4923,-5.3342,-13.708,3.7256,-1.7571
1491980049469,p1,9.1085,-0.82607,2.7404,5.4749,6.2036,6.1569,6.366,-5.9039,5.3332,-11.071,-2.828,-0.77804,-14.57,-1.2479,-0.88877
1491980049509,p1,10.001,0.1833,2.3061,6.7308,6.1924,4.4323,6.3902,-5.8434,5.3887,-10.666,1.1552,-0.75173,-12.826,2.1025,-0.12577
1491980049549,p1,9.4491,0.24587,2.5858,5.6208,7.7798,4.564,6.3984,-4.704,4.9657,-8.8889,1.0935,-4.0617,-11.64,4.7778,-2.1077
