time,activity,person,end
1491980048469,walking,p1,1491980053469
1491980053469,rowing,p1,1491980058469
1491980058469,jumping,p1,1491980063469
1491980063469,cycling,p1,1491980068469
1491980068469,walking,p1,1491980073469
1491980073469,rowing,p1,1491980078469
1491980078469,cycling,p1,1491980083469
1491980083469,jumping,p1,1491980088469
1491980088469,rowing,p1,1491980093469
1491980093469,rowing,p1,1491980098469
1491980098469,sitting,p1,1491980103469
1491980103469,sitting,p1,1491980108469
1491980108469,rowing,p1,1491980113469
1491980113469,walking,p1,1491980118469
1491980118469,rowing,p1,1491980123469
1491980123469,sitting,p1,1491980128469
1491980128469,jumping,p1,1491980133469
1491980133469,sitting,p1,1491980138469
1491980138469,cycling,p1,1491980143469
1491980143469,sitting,p1,1491980148469
1491980148469,sitting,p1,1491980153469
1491980153469,sitting,p1,1491980158469
1491980158469,walking,p1,1491980163469
1491980163469,cycling,p1,1491980168469
1491980168469,rowing,p1,1491980173469
1491980173469,cycling,p1,1491980178469
1491980178469,cycling,p1,1491980183469
1491980183469,sitting,p1,1491980188469
1491980188469,jumping,p1,1491980193469
1491980193469,walking,p1,1491980198469
1491980198469,cycling,p1,1491980203469
1491980203469,walking,p1,1491980208469
1491980208469,cycling,p1,1491980213469
1491980213469,cycling,p1,1491980218469
1491980218469,walking,p1,1491980223469
1491980223469,rowing,p1,1491980228469
1491980228469,jumping,p1,1491980233469
1491980233469,rowing,p1,1491980238469
1491980238469,jumping,p1,1491980243469
1491980243469,cycling,p1,1491980248469
1491980248469,walking,p1,1491980253469
1491980253469,walking,p1,1491980258469
1491980258469,jumping,p1,1491980263469
1491980263469,jumping,p1,1491980268469
1491980268469,rowing,p1,1491980273469
1491980273469,walking,p1,1491980278469
1491980278469,sitting,p1,1491980283469
1491980283469,jumping,p1,1491980288469
1491980288469,jumping,p1,1491980293469
1491980293469,sitting,p1,1491980298469
